City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hamilton,39.1834,-84.5333,23.02,66,99,0.45,US,1698274854
1,kawerau,-38.1,176.7,19.71,74,74,1.34,NZ,1698274946
2,queenstown,-31.8976,26.8753,11.91,86,9,0.69,ZA,1698275088
3,agat village,13.3886,144.6585,30.76,83,75,5.14,GU,1698275089
4,isafjordur,66.0755,-23.124,2.69,90,91,3.14,IS,1698275090
5,tazovsky,67.4667,78.7,-10.1,95,81,2.33,RU,1698275091
6,pacific grove,36.6177,-121.9166,20.39,74,20,4.63,US,1698275092
7,tyukhtet,56.5389,89.3011,4.68,73,99,4.56,RU,1698275093
8,blackmans bay,-43.0167,147.3167,9.18,69,92,0.89,AU,1698275095
9,waitangi,-43.9535,-176.5597,12.56,91,8,7.57,NZ,1698275096
10,sao joao da barra,-21.6403,-41.0511,24.05,96,100,3.32,BR,1698275097
11,west island,-12.1568,96.8225,25.99,83,75,7.2,CC,1698275098
12,wotho,10.1657,166.0102,28.35,81,31,5.97,MH,1698275099
13,newman,37.3138,-121.0208,24.13,50,58,4.92,US,1698275100
14,ushuaia,-54.8,-68.3,4.81,81,75,10.29,AR,1698275101
15,yellowknife,62.456,-114.3525,-1.44,92,75,4.63,CA,1698275060
16,bilibino,68.0546,166.4372,-14.15,98,90,1.09,RU,1698275106
17,qinnan,33.2531,119.9133,17.43,71,3,1.89,CN,1698275107
18,point pedro,9.8167,80.2333,26.83,76,69,1.81,LK,1698275109
19,mont-dore,-22.2833,166.5833,27.99,90,90,3.62,NC,1698275110
20,port mathurin,-19.6833,63.4167,24.67,78,6,7.31,MU,1698275111
21,puerto natales,-51.7236,-72.4875,2.17,99,100,1.64,CL,1698274890
22,port-aux-francais,-49.35,70.2167,4.47,93,100,0.93,TF,1698275113
23,sulya,12.5667,75.3833,21.58,85,52,1.11,IN,1698275115
24,sinabang,2.4803,96.3801,25.46,83,84,1.14,ID,1698275116
25,kailua-kona,19.6406,-155.9956,30.33,73,20,4.12,US,1698275118
26,lebu,-37.6167,-73.65,11.25,83,0,10.34,CL,1698275119
27,kearney,40.6995,-99.0815,14.38,97,100,1.84,US,1698275121
28,quepos,9.4236,-84.1652,25.97,88,100,2.28,CR,1698275123
29,iqaluit,63.7506,-68.5145,-10.15,78,75,2.57,CA,1698275124
30,touros,-5.1989,-35.4608,24.79,78,22,5.37,BR,1698275125
31,antunez,19.0167,-102.2,28.98,71,100,2.39,MX,1698275126
32,papatowai,-46.5619,169.4708,7.36,94,79,8.1,NZ,1698275127
33,lapinlahti,65.5833,30.5667,-3.17,82,17,1.8,RU,1698275129
34,olonkinbyen,70.9221,-8.7187,0.53,79,100,4.82,SJ,1698275130
35,st. john's,47.5649,-52.7093,10.44,88,75,6.17,CA,1698275131
36,ancud,-41.8697,-73.8203,10.71,81,70,4.3,CL,1698275133
37,carhaix-plouguer,48.2759,-3.5733,11.97,90,100,5.13,FR,1698275134
38,alice springs,-23.7,133.8833,16.75,22,0,8.75,AU,1698275136
39,adamstown,-25.066,-130.1015,22.77,82,62,7.01,PN,1698275137
40,talnakh,69.4865,88.3972,-8.77,95,100,0.55,RU,1698275139
41,albany,42.6001,-73.9662,18.36,69,95,1.21,US,1698275039
42,utrik,11.2278,169.8474,27.4,71,52,4.01,MH,1698275141
43,georgetown,5.4112,100.3354,26.12,92,20,1.54,MY,1698274892
44,lata,40.1629,-8.3327,19.49,95,100,3.58,PT,1698275143
45,haiku-pauwela,20.9219,-156.3051,29.54,63,20,5.66,US,1698275144
46,edinburgh of the seven seas,-37.0676,-12.3116,11.0,56,44,6.03,SH,1698275147
47,aasiaat,68.7098,-52.8699,-9.79,81,95,3.79,GL,1698275148
48,buka,40.8108,69.1986,19.52,28,100,3.23,UZ,1698275149
49,bethel,41.3712,-73.414,18.05,68,61,0.45,US,1698275088
50,rong'an,26.1247,119.1214,20.66,92,57,0.41,CN,1698275151
51,tolanaro,-25.0319,46.9987,22.04,83,20,3.09,MG,1698275153
52,luderitz,-26.6481,15.1594,16.12,84,1,2.41,NA,1698275154
53,klyuchi,52.2667,79.1667,12.16,59,100,7.88,RU,1698275155
54,dazhong,33.1997,120.4578,16.98,79,3,2.23,CN,1698275156
55,kruisfontein,-34.0033,24.7314,13.94,84,82,2.31,ZA,1698275158
56,udachny,66.4167,112.4,-16.3,97,38,3.13,RU,1698275159
57,bredasdorp,-34.5322,20.0403,13.88,88,100,0.76,ZA,1698275160
58,la spezia,44.1105,9.8434,20.6,75,100,0.45,IT,1698275161
59,kingston,17.997,-76.7936,25.53,91,75,3.13,JM,1698275035
60,inari,68.906,27.0288,-2.89,91,99,3.81,FI,1698275163
61,andergrove,-21.0833,149.1833,28.69,65,4,1.67,AU,1698275166
62,jamestown,42.097,-79.2353,18.8,45,100,3.6,US,1698274999
63,devoto,-31.4043,-62.3063,18.52,64,16,3.4,AR,1698275170
64,sao tome,0.3365,6.7273,25.58,85,100,3.18,ST,1698275171
65,port elizabeth,-33.918,25.5701,17.16,88,0,4.63,ZA,1698275172
66,remire-montjoly,4.9167,-52.2667,28.02,78,0,3.6,GF,1698275174
67,puerto ayora,-0.7393,-90.3518,27.98,85,96,4.79,EC,1698275179
68,kyren,51.6828,102.1408,2.19,65,66,0.89,RU,1698275182
69,opuwo,-18.0607,13.84,20.26,39,4,2.26,NA,1698275183
70,laguna,38.421,-121.4238,19.5,48,75,2.06,US,1698275185
71,egilsstadir,65.2653,-14.3948,-0.05,93,75,0.51,IS,1698275186
72,nova vicosa,-17.8919,-39.3719,25.82,83,45,4.7,BR,1698275187
73,stanley,54.868,-1.6985,9.74,95,100,3.6,GB,1698275059
74,saint-philippe,-21.3585,55.7679,23.77,83,6,2.97,RE,1698275189
75,baiti,13.745,-14.7482,27.47,67,80,3.45,SN,1698275191
76,bath,51.3779,-2.3591,11.32,94,100,2.05,GB,1698275193
77,lauro de freitas,-12.8944,-38.3272,27.01,78,40,7.2,BR,1698275195
78,ponnani,10.767,75.9252,24.62,90,42,1.89,IN,1698275196
79,troitsko-pechorsk,62.7084,56.1964,-6.84,94,66,2.24,RU,1698275198
80,port shepstone,-30.7414,30.455,17.96,82,43,3.27,ZA,1698275199
81,glace bay,46.1969,-59.957,13.27,87,75,7.72,CA,1698275200
82,island harbour,50.724,-1.2758,12.74,93,100,3.54,GB,1698275201
83,geraldton,-28.7667,114.6,14.23,94,26,3.09,AU,1698275202
84,margaret river,-33.95,115.0667,16.44,73,86,4.19,AU,1698275204
85,tiksi,71.6872,128.8694,-11.91,92,96,1.63,RU,1698275205
86,pisco,-13.7,-76.2167,20.03,83,100,1.54,PE,1698275206
87,college,64.8569,-147.8028,2.11,76,40,3.09,US,1698275207
88,vorkuta,67.5,64.0,-18.37,99,100,1.16,RU,1698275208
89,avarua,-21.2078,-159.775,22.03,60,75,6.17,CK,1698275210
90,tura,25.5198,90.2201,18.89,93,0,0.81,IN,1698275211
91,arauco,-37.2463,-73.3175,13.56,67,0,4.87,CL,1698275212
92,port lincoln,-34.7333,135.8667,13.62,51,6,6.26,AU,1698275074
93,esplanada,-11.7961,-37.945,23.57,82,54,4.51,BR,1698275107
94,east london,-33.0153,27.9116,17.33,81,49,6.1,ZA,1698275216
95,invercargill,-46.4,168.35,10.01,79,72,10.73,NZ,1698275217
96,dalnegorsk,44.5604,135.5701,10.33,71,89,0.89,RU,1698275218
97,whitehorse,60.7161,-135.0538,0.05,63,75,4.12,CA,1698275155
98,uturoa,-16.7333,-151.4333,26.82,75,97,3.34,PF,1698275221
99,kourou,5.1552,-52.6478,28.03,79,80,5.41,GF,1698275222
100,arraial do cabo,-22.9661,-42.0278,22.17,93,64,2.16,BR,1698275224
101,fort bragg,35.139,-79.006,21.56,77,0,1.43,US,1698275225
102,mbandaka,0.0487,18.2603,22.04,98,95,2.24,CD,1698275226
103,saipan,15.1355,145.701,28.39,89,75,4.63,MP,1698275227
104,borogontsy,62.6683,131.1683,-8.86,95,100,1.81,RU,1698275228
105,kapa'a,22.0752,-159.319,28.04,67,100,4.63,US,1698275230
106,grytviken,-54.2811,-36.5092,0.72,81,54,6.24,GS,1698275231
107,palmer,42.1584,-72.3287,18.15,65,75,3.09,US,1698275232
108,viedma,-40.8135,-62.9967,14.94,56,0,5.2,AR,1698275233
109,corralejo,28.7424,-13.8684,23.06,76,20,6.51,ES,1698275234
110,codrington,-38.2667,141.9667,11.55,68,89,6.19,AU,1698275235
111,kupang,-10.1667,123.5833,25.32,73,20,2.06,ID,1698275237
112,laojunmiao,39.8333,97.7333,5.43,30,0,1.71,CN,1698275238
113,puerto ayacucho,5.6639,-67.6236,26.14,87,74,1.67,VE,1698275239
114,manokwari,-0.8667,134.0833,27.81,71,97,2.49,ID,1698275240
115,atafu village,-8.5421,-172.5159,28.33,77,57,5.89,TK,1698275242
116,galesong,-5.3166,119.3661,21.01,47,16,1.95,ID,1698275243
117,vilyuchinsk,52.9306,158.4028,4.96,65,49,8.98,RU,1698275244
118,jining,35.405,116.5814,16.16,59,33,0.42,CN,1698275245
119,ar rutbah,33.0381,40.2848,19.62,61,0,3.63,IQ,1698275239
120,kishtwar,33.3167,75.7667,8.31,42,0,2.35,IN,1698275185
121,baihe,22.15,107.2333,22.1,85,72,0.78,CN,1698275249
122,rikaze,29.25,88.8833,0.04,53,27,1.22,CN,1698275250
123,vadso,70.0744,29.7487,-1.91,80,75,6.17,NO,1698275000
124,anadyr,64.75,177.4833,3.28,100,100,11.0,RU,1698275254
125,osorno,-40.5667,-73.15,14.03,77,8,3.03,CL,1698275255
126,papao,-17.75,-149.55,26.82,75,100,2.5,PF,1698275256
127,bryne,58.7354,5.6477,7.77,68,20,7.72,NO,1698275017
128,igarka,67.4667,86.5833,-9.48,98,94,1.23,RU,1698275258
129,hawaiian paradise park,19.5933,-154.9731,28.83,80,11,1.34,US,1698274973
130,porto novo,6.4965,2.6036,25.8,90,97,2.78,BJ,1698275261
131,karratha,-20.7377,116.8463,31.58,16,1,10.22,AU,1698275262
132,bikenibeu village,1.3673,173.1241,31.98,74,20,2.57,KI,1698275263
133,dudinka,69.4058,86.1778,-8.51,96,100,1.34,RU,1698275265
134,ghadamis,30.1337,9.5007,25.15,31,33,3.05,LY,1698275266
135,lugovoy,42.9472,72.7644,14.73,31,98,3.14,KZ,1698275267
136,sandnessjoen,66.0217,12.6316,1.29,83,100,4.76,NO,1698275268
137,kathu,7.9178,98.3332,29.83,73,57,1.83,TH,1698275270
138,prado,-17.3411,-39.2208,25.49,85,26,7.58,BR,1698274987
139,francisco sa,-16.4758,-43.4883,28.56,43,97,2.44,BR,1698275273
140,fortuna,40.5982,-124.1573,15.19,68,75,4.63,US,1698275274
141,ilulissat,69.2167,-51.1,-2.99,46,75,2.06,GL,1698275275
142,puerto baquerizo moreno,-0.9,-89.6,23.25,83,71,5.58,EC,1698275277
143,katsuren-haebaru,26.3369,127.8719,24.21,78,75,2.57,JP,1698275172
144,torit,4.4133,32.5678,24.67,65,98,0.91,SS,1698275280
145,wuwei,37.9281,102.6414,7.87,50,1,1.08,CN,1698275281
146,illintsi,49.1048,29.2177,12.79,76,95,6.7,UA,1698275282
147,as sulayyil,20.4607,45.5779,23.14,84,63,3.37,SA,1698275284
148,coquimbo,-29.9533,-71.3436,14.44,83,33,1.91,CL,1698275285
149,fort st. john,56.2499,-120.8529,-4.07,61,100,1.02,CA,1698275287
150,petropavlovsk-kamchatsky,53.0452,158.6483,4.14,78,75,2.68,RU,1698275288
151,qaqortoq,60.7167,-46.0333,0.69,77,100,2.4,GL,1698275289
152,portland,45.5234,-122.6762,10.88,86,75,5.14,US,1698274735
153,necochea,-38.5473,-58.7368,9.43,75,5,4.68,AR,1698275292
154,madinat ash shamal,26.1293,51.2009,28.98,60,0,4.34,QA,1698275293
155,fale old settlement,-9.3852,-171.2468,28.26,78,74,7.28,TK,1698275294
156,jinchang,38.4953,102.1739,8.3,35,0,1.24,CN,1698275296
157,susuman,62.7833,148.1667,-22.14,99,82,0.3,RU,1698275297
158,petrolina,-9.3986,-40.5008,30.03,45,0,1.03,BR,1698275298
159,nar'yan-mar,67.6713,53.087,-3.83,87,100,3.58,RU,1698275299
160,peace river,56.2501,-117.286,-2.65,61,100,1.75,CA,1698275301
161,baglung,28.2719,83.5898,13.44,47,0,3.21,NP,1698275302
162,alofi,-19.0595,-169.9187,24.94,65,75,7.2,NU,1698275303
163,bardai,11.65,7.2333,23.42,26,100,0.95,NG,1698275305
164,aioun,16.6614,-9.6149,32.24,14,35,3.55,MR,1698275306
165,tinogasta,-28.0632,-67.5649,19.3,59,1,2.68,AR,1698275307
166,broome,42.2506,-75.833,17.43,99,81,2.03,US,1698275308
167,punta arenas,-53.15,-70.9167,5.06,87,75,8.75,CL,1698274840
168,saint-joseph,-21.3667,55.6167,25.26,81,4,1.41,RE,1698275311
169,kramfors,62.9316,17.7765,-0.12,93,100,1.54,SE,1698275189
170,sal rei,16.1833,-22.9167,27.06,75,38,6.84,CV,1698275313
171,quartu sant'elena,39.2419,9.1839,20.04,85,40,1.03,IT,1698275315
172,kalabo,-14.97,22.6814,25.31,40,64,0.97,ZM,1698275316
173,okoneshnikovo,54.8377,75.0834,8.62,81,100,8.23,RU,1698275317
174,sangmelima,2.9333,11.9833,19.53,99,96,1.12,CM,1698275318
175,port alfred,-33.5906,26.891,16.21,88,38,1.34,ZA,1698275319
176,kapuskasing,49.4169,-82.4331,2.05,100,100,3.09,CA,1698275320
177,puerto cabezas,14.0351,-83.3888,27.41,85,99,3.71,NI,1698275321
178,mantua,45.1667,10.7833,14.58,76,100,0.74,IT,1698275322
179,kone,-21.0595,164.8658,24.52,81,98,2.43,NC,1698275113
180,mammoth lakes,37.6485,-118.9721,13.4,34,100,8.75,US,1698275325
181,enewetak,11.3474,162.3373,28.81,77,100,4.65,MH,1698275329
182,tamanrasset,22.785,5.5228,21.95,17,0,1.54,DZ,1698275330
183,lihue,21.9789,-159.3672,27.63,67,100,4.63,US,1698275331
184,paoua,7.2427,16.4406,21.98,90,95,1.63,CF,1698275332
185,copala,16.65,-98.9833,27.62,83,100,3.96,MX,1698275333
186,bhimunipatnam,17.8833,83.4333,25.16,80,57,1.58,IN,1698275335
187,valparaiso,-33.0393,-71.6273,12.8,87,75,4.12,CL,1698275336
188,vorgashor,67.5833,63.95,-17.56,99,100,1.22,RU,1698275337
189,mount pearl,47.5166,-52.7813,9.98,89,75,6.17,CA,1698275192
190,kabalo,-6.05,26.9167,22.52,84,73,0.55,CD,1698275339
191,kanye,-24.9667,25.3327,21.79,9,0,3.19,BW,1698275340
192,kavieng,-2.5744,150.7967,26.97,79,100,3.41,PG,1698275342
193,san patricio,28.017,-97.5169,29.4,69,65,7.23,US,1698275343
194,leh,34.1667,77.5833,0.13,37,0,1.8,IN,1698275308
195,wailua homesteads,22.0669,-159.378,27.29,70,100,4.63,US,1698275345
196,parscov,45.2833,26.55,15.45,69,94,2.11,RO,1698275347
197,sarangani,5.4033,125.4636,28.3,75,100,5.29,PH,1698275348
